id,related_id,class,type/scale,name,relevance,text,help,language,validation,mandatory,other,default,same_default,allowed_filetypes,alphasort,answer_width,answer_width_bycolumn,array_filter,array_filter_exclude,array_filter_style,assessment_value,category_separator,choice_input_columns,choice_title,code_filter,commented_checkbox,commented_checkbox_auto,cssclass,date_format,date_max,date_min,display_columns,display_rows,display_type,dropdown_dates,dropdown_dates_minute_step,dropdown_dates_month_style,dropdown_prefix,dropdown_prepostfix,dropdown_separators,dropdown_size,dualscale_headerA,dualscale_headerB,em_validation_q,em_validation_q_tip,em_validation_sq,em_validation_sq_tip,equals_num_value,equation,exclude_all_others,exclude_all_others_auto,hidden,hide_tip,input_boxes,input_size,label_input_columns,location_city,location_country,location_defaultcoordinates,location_mapheight,location_mapservice,location_mapwidth,location_mapzoom,location_nodefaultfromip,location_postal,location_state,max_answers,max_filesize,max_num_of_files,max_num_value,max_num_value_n,max_subquestions,maximum_chars,min_answers,min_num_of_files,min_num_value,min_num_value_n,multiflexible_checkbox,multiflexible_max,multiflexible_min,multiflexible_step,num_value_int_only,numbers_only,other_comment_mandatory,other_numbers_only,other_replace_text,page_break,parent_order,prefix,printable_help,public_statistics,question_template,random_group,random_order,rank_title,repeat_headings,reverse,samechoiceheight,samelistheight,scale_export,show_comment,show_grand_total,show_title,show_totals,showpopups,slider_accuracy,slider_custom_handle,slider_default,slider_default_set,slider_handle,slider_layout,slider_max,slider_middlestart,slider_min,slider_orientation,slider_rating,slider_reset,slider_reversed,slider_separator,slider_showminmax,statistics_graphtype,statistics_showgraph,statistics_showmap,suffix,text_input_columns,text_input_width,time_limit,time_limit_action,time_limit_countdown_message,time_limit_disable_next,time_limit_disable_prev,time_limit_message,time_limit_message_delay,time_limit_message_style,time_limit_timer_style,time_limit_warning,time_limit_warning_2,time_limit_warning_2_display_time,time_limit_warning_2_message,time_limit_warning_2_style,time_limit_warning_display_time,time_limit_warning_message,time_limit_warning_style,use_dropdown,value_range_allows_missing
32134,,G,0,Reviewing Hypotheses,Array,"In this part of the survey, we want you to provide an evaluation of our hypotheses : how we define and discover features.",,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701669,,Q,Y,RHypQ1,1,"<strong>We have observed, and thus hypothesize, that domain classes in legacy OOP applications often implement / centralize several functional aspects, regardless of how they are composed (multiple inheritance, aggregation, aspect weaving, or ad-hoc). Do you agree?</strong>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701670,,Q,T,RHypQ1Why,"((579469X32134X701669.NAOK == ""N""))",<strong>Why not ?</strong>,,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174943,701669,C,1,579469X32134X701669,'==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701671,,Q,Y,RHypQ2,1,"<strong>We argue that it is important to identify such functional features within legacy applications, for the purposes of understanding such applications, and possibly refactoring, reusing, and independently evolving such features later on. Do you agree?</strong>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701672,,Q,T,RHypQ2Why,"((579469X32134X701671.NAOK == ""N""))",Why not?,,en,,N,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174944,701671,C,1,579469X32134X701671,'==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701673,,Q,Y,RHypQ3,1,"<strong>We argued, with a toy example, that the class members that pertain to a given functional features may be distributed among many classes, and not be limited to a single class. For example, the functionality at hand may itself be specialized into several flavors. Do you agree?</strong>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701674,,Q,T,RHypQ3Why,"((579469X32134X701673.NAOK == ""N""))","If not, why do you think that it is unlikely that the class members related to a functional aspects be distributed amongst many classes?",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174945,701673,C,1,579469X32134X701673,'==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701675,,Q,L,RHypQ4,1,<strong>We made the hypothesis to ignore the specific placements of a given set of class members within a subhierarchy when counting occurrences [tu peux inclure l’image du slide 10 pour expliquer la question]. Do you think this is:</strong>,,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701675,,A,0,RH4a1,,reasonable,,en,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701675,,A,0,RH4a2,,too permissive,,en,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701676,,Q,T,RHypQ4Why,"((579469X32134X701675.NAOK == ""RH4a2""))",Can you imagine a situation where a different topology underlies different semantics?,,en,,N,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174922,701675,C,1,579469X32134X701675,'==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32122,,G,1,Candidate Feature Evaluation - JReversePro - Node 12,Array,"<ul><li dir=""ltr"">	<p dir=""ltr""><b id=""docs-internal-guid-9e3b2b8e-7fff-807d-a899-24927adcd04d"">Extent: </b>[jreversepro.JAwtFrame, jreversepro.JMainFrame]</p>	</li>	<li dir=""ltr"">	<p dir=""ltr""><b>Intent: </b>[void addListeners(), void appClose(), void copyText(), void cutText(), void formatTitle(String aFileName), void initAppState(), void main(String[] aArgs), void openFile(), void reverseEngineer(File aFile), void saveFile(), void saveProperties(), void showAbout(), void showFontDialog(), void viewPool()]. </p>	</li></ul>",,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701609,,Q,Y,JRevNode12Q1,1,"<b id=""docs-internal-guid-fcbda8b0-7fff-2782-3cd8-37b00a19efac"">Is the multiple occurrence of the same set of methods meaningful?</b>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701610,,Q,5,JRevNode12Q2,1,"<p dir=""ltr""><b id=""docs-internal-guid-dfe3c127-7fff-ed3e-071c-f38cc0882c43"">Are the elements of the feature functionally cohesive, i.e. do the set of methods that occur together (appear to) contribute to the same functions? Assign a cohesion score from 1 (for low cohesion) to 3 (for high cohesion)</b></p>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701611,,Q,Y,JRevNode12Q3,1,"<b id=""docs-internal-guid-5b3be9c5-7fff-656f-dfd0-386a1914ca7a"">Does the feature correspond to a “useful” or “interesting” domain abstraction”.</b>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701612,,Q,T,JRevNode12Q4,"((579469X32122X701611.NAOK == ""N""))","<p dir=""ltr""><b id=""docs-internal-guid-c236e001-7fff-fdf9-a66e-b3d31c67d49b"">Do you see a design anomaly that could have explained how/why this case (multiple occurrences of a set of methods) showed up?</b></p>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174918,701611,C,1,579469X32122X701611,'==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701613,,Q,T,JRevNode12Q5,"((579469X32122X701611.NAOK == ""N""))","<p dir=""ltr""><b id=""docs-internal-guid-4fc83f86-7fff-9116-d7ab-d920ebec445e"">Can you think of a “rule” that could have excluded this case?</b></p>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174919,701611,C,1,579469X32122X701611,'==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32123,,G,2,Candidate Feature Evaluation - JReversePro - Node 14,Array,"<ul><li dir=""ltr"">	<p dir=""ltr""><b id=""docs-internal-guid-86de3dfe-7fff-b0af-d2e2-6e04ae76cbf0"">Extent: </b>[jreversepro.revengine.JBranchTable, jreversepro.revengine.JCollatingTable]</p>	</li>	<li dir=""ltr"">	<p dir=""ltr""><b>Intent:</b> [void sort()]</p>	</li></ul>",,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701614,,Q,Y,JRevNode14Q1,1,"<b id=""docs-internal-guid-fcbda8b0-7fff-2782-3cd8-37b00a19efac"">Is the multiple occurrence of the same set of methods meaningful?</b>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701615,,Q,5,JRevNode14Q2,1,"<p dir=""ltr""><b id=""docs-internal-guid-dfe3c127-7fff-ed3e-071c-f38cc0882c43"">Are the elements of the feature functionally cohesive, i.e. do the set of methods that occur together (appear to) contribute to the same functions? Assign a cohesion score from 1 (for low cohesion) to 3 (for high cohesion)</b></p>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701616,,Q,Y,JRevNode14Q3,1,"<b id=""docs-internal-guid-5b3be9c5-7fff-656f-dfd0-386a1914ca7a"">Does the feature correspond to a “useful” or “interesting” domain abstraction”.</b>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701617,,Q,T,JRevNode14Q4,"((579469X32123X701616.NAOK == ""N""))","<p dir=""ltr""><b id=""docs-internal-guid-c236e001-7fff-fdf9-a66e-b3d31c67d49b"">Do you see a design anomaly that could have explained how/why this case (multiple occurrences of a set of methods) showed up?</b></p>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174920,701616,C,1,579469X32123X701616,'==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701618,,Q,T,JRevNode14Q5,"((579469X32123X701616.NAOK == ""N""))","<p dir=""ltr""><b id=""docs-internal-guid-4fc83f86-7fff-9116-d7ab-d920ebec445e"">Can you think of a “rule” that could have excluded this case?</b></p>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174921,701616,C,1,579469X32123X701616,'==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32124,,G,3,Candidate Feature Evaluation - JReversePro - Node 15,Array,"<ul><li dir=""ltr"">	<p dir=""ltr""><b id=""docs-internal-guid-bc7488fe-7fff-cd3d-2a48-7d9c2c4db824"">Extent:</b> [jreversepro.awtui.JCustomListPanel, jreversepro.awtui.JErrorDlg, jreversepro.gui.JCustomListPanel, jreversepro.gui.JErrorDlg]</p>	</li>	<li dir=""ltr"">	<p dir=""ltr""><b>Intent: </b>[void addComponents()]</p>	</li></ul>",,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701619,,Q,Y,JRevNode15Q1,1,"<b id=""docs-internal-guid-fcbda8b0-7fff-2782-3cd8-37b00a19efac"">Is the multiple occurrence of the same set of methods meaningful?</b>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701620,,Q,5,JRevNode15Q2,1,"<p dir=""ltr""><b id=""docs-internal-guid-dfe3c127-7fff-ed3e-071c-f38cc0882c43"">Are the elements of the feature functionally cohesive, i.e. do the set of methods that occur together (appear to) contribute to the same functions? Assign a cohesion score from 1 (for low cohesion) to 3 (for high cohesion)</b></p>",,en,,Y,N,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
